Date,Open,High,Low,Close,Volume,Count
3/15/2013,27.03,27.06,26.56,26.64,31597364,924
3/18/2013,26.37,26.79,25.78,26.49,26653641,923
3/19/2013,26.53,26.9,26.21,26.55,25254152,922
3/20/2013,26.68,26.69,25.78,25.86,44006434,921
3/21/2013,25.66,26.11,25.56,25.74,24336012,920
3/22/2013,25.8,26.01,25.63,25.73,18456268,919
3/25/2013,25.75,25.8,25.08,25.13,39198947,918
3/26/2013,25.08,25.48,25.03,25.2,26957135,917
3/27/2013,25,26.28,24.72,26.09,52297328,916
3/28/2013,26.09,26.17,25.52,25.58,28585612,915
4/1/2013,25.63,25.89,25.28,25.53,22249212,914
4/2/2013,25.77,26.12,25.3,25.42,35153292,913
4/3/2013,25.83,26.39,25.7,26.25,48195118,912
4/4/2013,26.62,27.23,26.11,27.07,82016745,911
4/5/2013,26.86,27.8,26.61,27.39,64566510,910
4/8/2013,27.19,27.2,26.63,26.85,27255982,909
4/9/2013,26.58,26.89,26.42,26.59,21311013,908
4/10/2013,27.01,27.84,26.9,27.57,45949361,907
4/11/2013,27.48,28.1,27.25,28.02,33368462,906
4/12/2013,28,28,27.24,27.4,28697400,905
4/15/2013,27.16,27.48,26.36,26.52,30275356,904
4/16/2013,26.81,27.11,26.4,26.92,27396392,903
4/17/2013,26.65,27.2,26.39,26.62,26440537,902
4/18/2013,26.82,26.82,25.15,25.69,39058905,901
4/19/2013,25.62,25.96,25.33,25.73,20380862,900
4/22/2013,25.81,26.36,25.7,25.97,25687549,899
4/23/2013,26.22,26.33,25.77,25.98,25191467,898
4/24/2013,25.93,26.4,25.8,26.11,19729809,897
4/25/2013,26.07,26.4,26,26.14,17149965,896
4/26/2013,26.6,27.62,26.6,26.85,33017958,895
4/29/2013,27.16,27.41,26.86,26.98,29201070,894
4/30/2013,27.13,27.85,27,27.77,36245633,893
5/1/2013,27.85,27.92,27.31,27.43,64567590,892
5/2/2013,28.01,29.02,27.98,28.97,104256921,891
5/3/2013,29.04,29.07,28.15,28.31,58506376,890
5/6/2013,28.33,28.46,27.48,27.57,43939307,889
5/7/2013,27.55,27.85,26.85,26.89,41259083,888
5/8/2013,26.88,27.3,26.65,27.12,34654851,887
5/9/2013,27.08,27.55,26.85,27.04,33457150,886
5/10/2013,27.14,27.3,26.57,26.68,30847022,885
5/13/2013,26.6,27.32,26.53,26.82,29068764,884
5/14/2013,26.89,27.28,26.82,27.07,24930207,883
5/15/2013,26.92,26.99,26.4,26.6,30299761,882
5/16/2013,26.48,26.55,25.9,26.13,35506976,881
5/17/2013,26.4,26.6,26.2,26.25,29462605,880
5/20/2013,26.18,26.19,25.69,25.76,42402874,879
5/21/2013,25.87,26.08,25.59,25.66,26261210,878
5/22/2013,25.65,25.85,24.92,25.16,45314475,877
5/23/2013,24.8,25.53,24.77,25.06,37697202,876
5/24/2013,24.97,24.97,24.08,24.31,58727882,875
5/28/2013,24.54,24.54,23.92,24.1,50079642,874
5/29/2013,23.79,23.81,23.26,23.32,64237702,873
5/30/2013,24.13,24.78,23.93,24.55,60733122,872
5/31/2013,24.63,24.95,24.27,24.35,35924917,871
6/3/2013,24.26,24.32,23.71,23.85,35733795,870
6/4/2013,23.89,23.93,23.32,23.52,34808997,869
6/5/2013,23.35,23.7,22.79,22.9,53819645,868
6/6/2013,22.99,23.09,22.67,22.97,31260660,867
6/7/2013,23.03,23.4,22.86,23.29,38699124,866
6/10/2013,24.06,24.6,23.99,24.33,58392986,865
6/11/2013,24.03,24.35,24,24.03,29676383,864
6/12/2013,24.16,24.26,23.58,23.77,26445790,863
6/13/2013,23.72,23.83,23.26,23.73,31189247,862
6/14/2013,23.56,23.89,23.26,23.63,30561387,861
6/17/2013,23.91,24.25,23.75,24.02,33664419,860
6/18/2013,24.09,24.69,24.08,24.21,36709004,859
6/19/2013,24.2,25.19,24.1,24.31,31790525,858
6/20/2013,24.28,24.74,23.65,23.9,42765586,857
6/21/2013,24.59,24.7,24.05,24.53,45826173,856
6/24/2013,23.95,24.11,23.38,23.94,40625948,855
6/25/2013,24.14,24.43,24.04,24.25,24719988,854
6/26/2013,24.51,24.65,23.99,24.16,29890205,853
6/27/2013,24.24,24.84,24.21,24.66,34694013,852
6/28/2013,24.68,24.98,24.42,24.88,96778879,851
7/1/2013,24.97,25.06,24.62,24.81,20582195,850
7/2/2013,24.7,24.77,24.3,24.41,18394008,849
7/3/2013,24.22,24.71,24.15,24.52,10404332,848
7/5/2013,24.65,24.66,24.2,24.37,20229451,847
7/8/2013,24.47,25.04,24.42,24.71,27073983,846
7/9/2013,25.07,25.49,25.03,25.48,30387889,845
7/10/2013,25.58,25.83,25.47,25.8,26721794,844
7/11/2013,25.96,26,25.45,25.81,26777354,843
7/12/2013,25.74,25.93,25.55,25.91,16537840,842
7/15/2013,25.93,26.43,25.65,26.28,24233957,841
7/16/2013,26.39,26.75,26.01,26.32,30817554,840
7/17/2013,26.37,26.78,26.3,26.65,21518463,839
7/18/2013,26.75,26.77,26.12,26.18,24806825,838
7/19/2013,25.82,26.11,25.6,25.88,46544938,837
7/22/2013,25.99,26.13,25.72,26.04,27526213,836
7/23/2013,26.1,26.3,25.97,26.13,28221534,835
7/24/2013,26.32,26.53,26.05,26.51,82635587,834
7/25/2013,33.54,34.88,32.75,34.36,365935212,833
7/26/2013,33.77,34.73,33.56,34.01,136028897,832
7/29/2013,34.07,35.63,34.01,35.43,124884870,831
7/30/2013,35.65,37.96,35.32,37.63,173582710,830
7/31/2013,37.96,38.31,36.33,36.8,154828679,829
8/1/2013,37.3,38.29,36.92,37.49,106066472,828
8/2/2013,37.66,38.49,37.5,38.05,73058424,827
8/5/2013,38.43,39.32,38.25,39.19,79994774,826
8/6/2013,39.11,39.25,37.94,38.55,63950791,825
